"schema.date","duration","schema.Place","source","orig.data","commodity","quantity","unit","price.min","currency","price.max","X","schema.latitude","schema.longitude","schema.language","schema.identifier","year","quarter","month","week","date.common","month.common","price.avg","dm.min","dm.max","dm.avg","dmp.min","dmp.max","dmp.avg"
1840-01-01,"P1Y","Damascus","3BF740DD-8754-4485-9036-51AB808B9AA8","the price of one ratl of bread reached 6 kuruş.","bread",1,"kg",2.33836992232715,"ops",NA,"",33.5102,36.29128,"en","https://www.geonames.org/170654",1840-01-01,1840-01-01,1840-01-01,1839-12-30,2000-01-01,2000-01-01,2.33836992232715,0.96172110468576,NA,0.960011769947217,69.8595816421415,NA,69.6489347336627
1872-01-01,"P1Y","Jerusalem","B5CD5DE4-BC61-4623-9B90-367588DB3113","bread (okka) | 2 |","bread",1,"kg",1.55891328155143,"ops",NA,"",31.76904,35.21633,"en","https://www.geonames.org/281184",1872-01-01,1872-01-01,1872-01-01,1872-01-01,2000-01-01,2000-01-01,1.55891328155143,0.182264463910045,NA,0.180555129171501,13.239721094761,NA,13.0992898224418
1878-03-21,"","Beirut","3071F990-9817-47F7-BE6C-B7946865EFBC","the raṭl of bread; the black quality of which is sold at Ps3","bread",1,"kg",1.16918496116357,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1878-01-01,1878-01-01,1878-03-01,1878-03-18,2000-03-20,2000-03-01,1.16918496116357,-0.207463856477813,NA,-0.209173191216356,-15.0702091789292,NA,-15.1755326331686
1878-03-21,"","Beirut","3071F990-9817-47F7-BE6C-B7946865EFBC","the goal of obtaining a Ps1 subsidy for every raṭl of bread","bread",1,"kg",0.389728320387858,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1878-01-01,1878-01-01,1878-03-01,1878-03-18,2000-03-20,2000-03-01,0.389728320387858,-0.986920497253528,NA,-0.988629831992072,-71.6900697263097,NA,-71.7251775443895
1887-05-05,"","Damascus","DF619193-1564-438E-B6A2-708F4D4563CC","bread at Ps 1\"30 (70 para) per oqqa","bread",1,"kg",1.3640491213575,"ops",NA,"",33.5102,36.29128,"en","https://www.geonames.org/170654",1887-01-01,1887-04-01,1887-05-01,1887-05-02,2000-05-04,2000-05-01,1.3640491213575,-0.0125996962838841,NA,-0.0143090310224274,-0.91524404208411,NA,-1.03812140536339
1888-10-01,"","Beirut","2778181B-EA05-4BEB-97CD-E14A8306694E","a raṭl of 2 okkas of the best quality (of four levels) at ps 2\"10;","bread",1,"kg",0.87688872087268,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1888-01-01,1888-10-01,1888-10-01,1888-10-01,2000-10-01,2000-10-01,0.87688872087268,-0.499760096768706,NA,-0.50146943150725,-36.3026568841969,NA,-36.3816494748765
1888-10-01,"","Beirut","2778181B-EA05-4BEB-97CD-E14A8306694E","2nd quality ps 2","bread",1,"kg",0.779456640775715,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1888-01-01,1888-10-01,1888-10-01,1888-10-01,2000-10-01,2000-10-01,0.779456640775715,-0.597192176865671,NA,-0.598901511604214,-43.3801394526195,NA,-43.4503550887791
1888-10-01,"","Beirut","2778181B-EA05-4BEB-97CD-E14A8306694E","3rd at ps 1\"30","bread",1,"kg",0.682024560678751,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1888-01-01,1888-10-01,1888-10-01,1888-10-01,2000-10-01,2000-10-01,0.682024560678751,-0.694624256962635,NA,-0.696333591701178,-50.4576220210421,NA,-50.5190607026817
1888-10-01,"","Beirut","2778181B-EA05-4BEB-97CD-E14A8306694E","4th at ps 1\"25","bread",1,"kg",0.633308520630269,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1888-01-01,1888-10-01,1888-10-01,1888-10-01,2000-10-01,2000-10-01,0.633308520630269,-0.743340297011117,NA,-0.745049631749661,-53.9963633052533,NA,-54.053413509633
1898-03-14,"","Damascus","A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF","The best Rumayli shall be sold at Ps 2","bread",1,"kg",0.779456640775715,"ops",NA,"",33.5102,36.29128,"en","https://www.geonames.org/170654",1898-01-01,1898-01-01,1898-03-01,1898-03-14,2000-03-13,2000-03-01,0.779456640775715,-0.597192176865671,NA,-0.598901511604214,-43.3801394526195,NA,-43.4503550887791
