date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1878-03-21,3071F990-9817-47F7-BE6C-B7946865EFBC,the raṭl of bread; the black quality of which is sold at Ps3,bread,0.9999999999999999,kg,currency,1.1691849611635727,ops,
1878-03-21,3071F990-9817-47F7-BE6C-B7946865EFBC,the goal of obtaining a Ps1 subsidy for every raṭl of bread,bread,0.9999999999999999,kg,currency,0.3897283203878576,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,a raṭl of 2 okkas of the best quality (of four levels) at ps 2"10;,bread,0.9999999999999999,kg,currency,0.8768887208726796,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,2nd quality ps 2,bread,0.9999999999999999,kg,currency,0.7794566407757152,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,3rd at ps 1"30,bread,0.9999999999999999,kg,currency,0.6820245606787508,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,4th at ps 1"25,bread,0.9999999999999999,kg,currency,0.6333085206302685,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,The best Rumayli shall be sold at Ps 2,bread,0.9999999999999999,kg,currency,0.7794566407757152,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,Medium at Ps 1"30,bread,0.9999999999999999,kg,currency,0.6820245606787508,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,The lowest at Ps 1"20,bread,0.9999999999999999,kg,currency,0.5845924805817864,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,The best Kamājī shall be sold at Ps 2"05,bread,0.9999999999999999,kg,currency,0.8281726808241974,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,medium at Ps 1"35,bread,0.9999999999999999,kg,currency,0.730740600727233,ops,
1898-03-14,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,the lowest at Ps 1"20,bread,0.9999999999999999,kg,currency,0.5845924805817864,ops,
1898-04-25,C056B1A5-E8F9-44AB-B2D4-7CF4F35974F2,a raṭl of bread al-asmar is at Ps 3,bread,0.9999999999999999,kg,currency,1.1691849611635727,ops,
1908-08-21,0FF34A37-F850-4E78-ABE0-334BD88D6C6E,the raṭl of bread was sold at more then Ps 7;5,bread,0.9999999999999999,kg,currency,2.922962402908932,ops,
1909-02-07,5DA86A30-8E43-46AB-94D7-98ED101D39FE,bread weighing not more than 150 dirham at the price of Ps 1"20,bread,1,kg,currency,3.117826563102861,ops,
1909-03-30,E5385ADD-7665-44E0-8526-F064DDE22224,currently in Beirut the raṭl sells at Ps 4"20,bread,0.9999999999999999,kg,currency,1.753777441745359,ops,
1909-03-30,E5385ADD-7665-44E0-8526-F064DDE22224,in our corrupted city the price is Ps 6"20,bread,0.9999999999999999,kg,currency,2.533234082521074,ops,
1909-04-13,C458F3B3-C575-4E8F-8E0D-0E4928DACCDB,cut bread (*al-khubz al-maqṭūʿ*) is sold at Ps 0"10 and weighs barely 50 dirham,bread,0.9999999999999999,kg,currency,1.5589132815514304,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,the ratl of best bread (al-Khāṣṣ) = Ps 4,bread,0.9999999999999999,kg,currency,1.5589132815514304,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,2nd quality = Ps 3"30,bread,0.9999999999999999,kg,currency,1.461481201454466,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,3rd qual (duqāq) = Ps 3"20,bread,0.9999999999999999,kg,currency,1.3640491213575017,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,4th qual (mafrūq) = Ps 3"10,bread,0.9999999999999999,kg,currency,1.266617041260537,ops,
1910-07-18,541FF446-F14C-423E-A7E0-DD2BCC656F95,the price fell to Ps 7"20 per raṭl,bread,0.9999999999999999,kg,currency,2.922962402908932,ops,
1910-07-03,132553F8-4F6A-4765-9250-D48D0673C784,The municipality set the price (saʿʿrat) for a raṭl of good bread to Ps3"30,bread,0.9999999999999999,kg,currency,1.461481201454466,ops,
1910-07-05,A45ADCDD-136F-48F2-B852-165AB05FBE24,municipality fixed the price of a raṭl of good bread at Ps 3"30,bread,0.9999999999999999,kg,currency,1.461481201454466,ops,
1910-08-29,AF0A1C75-634F-4E57-AD8B-3CCA6A060214,the price for bread will be Ps 3"30,bread,0.9999999999999999,kg,currency,1.461481201454466,ops,
1911-07-12,35590F6D-62A9-42A5-B44A-45CA3EAB8A90,a raṭl of black bread (*al-khubz al-azmar*) is sold there at Ps 3;5,bread,0.9999999999999999,kg,currency,1.3640491213575017,ops,
1911-07-12,35590F6D-62A9-42A5-B44A-45CA3EAB8A90,raṭl of dark bread at Ps 2"30,bread,0.9999999999999999,kg,currency,1.0717528810666084,ops,
1913-02-18,B8F9B7C0-8469-417A-98D4-9D622BA6BF8A,bread; a raṭl of which reaches Ps 4"20,bread,0.9999999999999999,kg,currency,1.753777441745359,ops,
1913-02-18,B8F9B7C0-8469-417A-98D4-9D622BA6BF8A,to set the price of a raṭl of bread to Ps 3"20 to Ps 4,bread,0.9999999999999999,kg,currency,1.3640491213575017,ops,currency,1.5589132815514304,ops,
1913-03-04,F2EBD846-6889-4215-A7D7-D97A61EAC82C,not allowed to sell a raṭl of good quality at more than Ps 4,bread,0.9999999999999999,kg,currency,1.5589132815514304,ops,
1914-10-16,96E665E4-704F-48FF-BBE5-220720EA214A,uqqa of bread from the markets (10 loafs per uqqa): Ps 3,bread,0.9999999999999999,kg,currency,1.1691849611635727,ops,
1914-02-01,82110DD4-9442-439A-9A38-C6EE0907B675,making bread of good quality at the citadel of Damascus. he sells the raṭl at Ps 2"20,bread,0.9999999999999999,kg,currency,0.974320800969644,ops,
