date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, commodity-3, quantity-3, unit-3,commodity-4, quantity-4, unit-4,
1858-01-01,258FC9E7-A9B3-4EB3-BA59-C99A9D208F21,Beirut and Mount Lebanon: Ps 120 per year,newspaper,1,year,currency,120,ops,
1858-01-01,258FC9E7-A9B3-4EB3-BA59-C99A9D208F21,Ottoman Empire: Ps 144 per year,newspaper,1,year,currency,144,ops,
1861-12-19,90A58F6E-5D5C-4589-A432-E3AAB60BBDD1,Beirut and Mount Lebanon: Ps 120 per year,newspaper,1,year,currency,120,ops,
1861-12-19,90A58F6E-5D5C-4589-A432-E3AAB60BBDD1,Ottoman Empire: Ps 144 per year,newspaper,1,year,currency,144,ops,
1863-11-26,80F58087-433D-4F0C-A4D0-9477623BEE5E,"al-ʿAṣr al-Jadīd"" (the new age) by Khalīl al-Khūrī. available at the printing press of Ḥadīqat al-Akhbār for Ps 20 per copy,book,1,volume,currency,20,ops,
1863-11-26,80F58087-433D-4F0C-A4D0-9477623BEE5E,"al-nashāʾid al-fuʾādiyya" by Khalīl al-Khūrī; which contains a biography of Fuʾād Pasha; the Grand Vizier; sells for Ps 10 per copy,book,1,volume,currency,10,ops,
1863-12-10,36FB434A-3288-42F7-878B-A8A6D8DB5CA2,"al-ʿAṣr al-Jadīd"" (the new age) by Khalīl al-Khūrī. available at the printing press of Ḥadīqat al-Akhbār for Ps 20 per copy,book,1,volume,currency,20,ops,
1863-12-10,36FB434A-3288-42F7-878B-A8A6D8DB5CA2,"al-nashāʾid al-fuʾādiyya" by Khalīl al-Khūrī; which contains a biography of Fuʾād Pasha; the Grand Vizier; sells for Ps 10 per copy,book,1,volume,currency,10,ops,
1863-12-17,2B84B7B6-9B35-4D0F-B461-999FF872EAEF,"al-ʿAṣr al-Jadīd"" (the new age) by Khalīl al-Khūrī. available at the printing press of Ḥadīqat al-Akhbār for Ps 20 per copy,book,1,volume,currency,20,ops,
1863-12-17,2B84B7B6-9B35-4D0F-B461-999FF872EAEF,"al-nashāʾid al-fuʾādiyya" by Khalīl al-Khūrī; which contains a biography of Fuʾād Pasha; the Grand Vizier; sells for Ps 10 per copy,book,1,volume,currency,10,ops,
